datetime,temperature,humidity,load,hour,day_of_week,month
2021-01-04 17:00:00,68,83,4138.731940584217,17,0,1
2021-01-04 18:00:00,68,83,818.5394988441301,18,0,1
2021-01-04 19:00:00,66,88,818.5394988441301,19,0,1
2021-01-04 20:00:00,66,88,812.827195280768,20,0,1
2021-01-04 21:00:00,66,88,654.2267669333012,21,0,1
2021-01-04 22:00:00,63,87,515.4513921292676,22,0,1
2021-01-04 23:00:00,63,87,455.9762314989675,23,0,1
2021-01-04 00:00:00,63,87,2083.6467292005136,0,0,1
2021-01-05 01:00:00,66,90,2062.1658350850444,1,1,1
2021-01-05 02:00:00,66,90,2062.1658350850444,2,1,1
2021-01-05 03:00:00,66,90,2062.1658350850444,3,1,1
2021-01-05 04:00:00,80,40,2294.620909867248,4,1,1
2021-01-05 05:00:00,80,40,2710.645657438832,5,1,1
2021-01-05 06:00:00,80,40,3178.548790798719,6,1,1
2021-01-05 07:00:00,83,32,4321.536046916651,7,1,1
2021-01-05 08:00:00,83,32,5136.9578543071575,8,1,1
2021-01-05 09:00:00,83,32,5383.380186801597,9,1,1
2021-01-05 10:00:00,81,38,4706.3007415132315,10,1,1
2021-01-05 11:00:00,81,38,4879.893801651014,11,1,1
2021-01-05 12:00:00,81,38,4802.741330478667,12,1,1
2021-01-05 13:00:00,72,69,4688.509115617883,13,1,1
2021-01-05 14:00:00,72,69,4552.328352923588,14,1,1
2021-01-05 15:00:00,72,69,4552.328352923588,15,1,1
2021-01-05 16:00:00,71,78,4375.409755235274,16,1,1
2021-01-05 17:00:00,71,78,3988.1509074757932,17,1,1
2021-01-05 18:00:00,71,78,790.8128295165676,18,1,1
2021-01-05 19:00:00,65,88,829.3890651027416,19,1,1
2021-01-05 20:00:00,65,88,790.8128295165676,20,1,1
2021-01-05 21:00:00,65,88,622.540629459636,21,1,1
2021-01-05 22:00:00,69,85,505.8142614359543,22,1,1
2021-01-05 23:00:00,69,85,505.8142614359543,23,1,1
2021-01-05 00:00:00,69,85,2044.5404860672234,0,1,1
2021-01-06 01:00:00,73,86,2001.9458926074897,1,2,1
2021-01-06 02:00:00,73,86,2001.9458926074897,2,2,1
2021-01-06 03:00:00,73,86,2001.9458926074897,3,2,1
2021-01-06 04:00:00,80,56,2171.596805107246,4,2,1
2021-01-06 05:00:00,80,56,2512.038319538139,5,2,1
2021-01-06 06:00:00,80,56,3421.9989241073704,6,2,1
2021-01-06 07:00:00,81,55,4473.118205391849,7,2,1
2021-01-06 08:00:00,81,55,5029.937899009092,8,2,1
2021-01-06 09:00:00,81,55,5122.741181278631,9,2,1
2021-01-06 10:00:00,80,59,5004.8647315187245,10,2,1
2021-01-06 11:00:00,80,59,4853.774475472876,11,2,1
2021-01-06 12:00:00,80,59,4853.774475472876,12,2,1
2021-01-06 13:00:00,76,74,4702.6842194270275,13,2,1
2021-01-06 14:00:00,76,74,3669.4743434928114,14,2,1
2021-01-06 15:00:00,76,74,3437.303325043048,15,2,1
2021-01-06 16:00:00,74,79,3437.303325043048,16,2,1
2021-01-06 17:00:00,74,79,3669.4743434928114,17,2,1
2021-01-06 18:00:00,74,79,768.4763023021594,18,2,1
2021-01-06 19:00:00,70,83,768.4763023021594,19,2,1
2021-01-06 20:00:00,70,83,749.2643947446054,20,2,1
2021-01-06 21:00:00,70,83,614.7810418417275,21,2,1
2021-01-06 22:00:00,72,89,499.5095964964036,22,2,1
2021-01-06 23:00:00,72,89,499.5095964964036,23,2,1
2021-01-06 00:00:00,72,89,1863.5550330827366,0,2,1
2021-01-07 01:00:00,71,89,1942.8552472564702,1,3,1
2021-01-07 02:00:00,71,89,1942.8552472564702,2,3,1
2021-01-07 03:00:00,71,89,1942.8552472564702,3,3,1
2021-01-07 04:00:00,72,87,1942.8552472564702,4,3,1
2021-01-07 05:00:00,72,87,2323.584263471415,5,3,1
2021-01-07 06:00:00,72,87,3288.22224793398,6,3,1
2021-01-07 07:00:00,77,68,4196.845709279768,7,3,1
2021-01-07 08:00:00,77,68,4743.411662116203,8,3,1
2021-01-07 09:00:00,77,68,4665.330811710997,9,3,1
2021-01-07 10:00:00,78,67,4704.371236913599,10,3,1
2021-01-07 11:00:00,78,67,4448.571581346982,11,3,1
2021-01-07 12:00:00,78,67,1918.0730643017746,12,3,1
2021-01-07 13:00:00,74,79,3445.741876577524,13,3,1
2021-01-07 14:00:00,74,79,3513.638268234224,14,3,1
2021-01-07 15:00:00,74,79,3347.292108675309,15,3,1
2021-01-07 16:00:00,73,83,3475.44654792733,16,3,1
2021-01-07 17:00:00,73,83,3296.7092968910674,17,3,1
2021-01-07 18:00:00,73,83,834.1071715025593,18,3,1
2021-01-07 19:00:00,73,84,881.2951637039658,19,3,1
2021-01-07 20:00:00,73,84,881.2951637039658,20,3,1
2021-01-07 21:00:00,73,84,761.1185504716068,21,3,1
2021-01-07 22:00:00,72,86,600.8830661617949,22,3,1
2021-01-07 23:00:00,72,86,540.7947595456153,23,3,1
2021-01-07 00:00:00,72,86,1882.7669406402906,0,3,1
2021-01-08 01:00:00,74,89,1863.5550330827366,1,4,1
2021-01-08 02:00:00,74,89,1863.5550330827366,2,4,1
2021-01-08 03:00:00,74,89,1863.5550330827366,3,4,1
2021-01-08 04:00:00,81,47,1863.5550330827366,4,4,1
2021-01-08 05:00:00,81,47,2589.01758562973,5,4,1
2021-01-08 06:00:00,81,47,3130.0063348657936,6,4,1
2021-01-08 07:00:00,85,32,4250.625886854781,7,4,1
2021-01-08 08:00:00,85,32,5047.660242872136,8,4,1
2021-01-08 09:00:00,85,32,4872.258921691251,9,4,1
2021-01-08 10:00:00,83,35,5134.6888677492425,10,4,1
2021-01-08 11:00:00,83,35,4378.4806813170935,11,4,1
2021-01-08 12:00:00,83,35,4092.697494220651,12,4,1
2021-01-08 13:00:00,75,69,4112.186529907416,13,4,1
2021-01-08 14:00:00,75,69,3929.89684266483,14,4,1
2021-01-08 15:00:00,75,69,3929.89684266483,15,4,1
2021-01-08 16:00:00,72,84,3910.911833763067,16,4,1
2021-01-08 17:00:00,72,84,3872.9418159595425,17,4,1
2021-01-08 18:00:00,72,84,892.1274094545015,18,4,1
2021-01-08 19:00:00,72,84,931.7775165413683,19,4,1
2021-01-08 20:00:00,72,84,911.952462997935,20,4,1
2021-01-08 21:00:00,72,84,892.1274094545015,21,4,1
2021-01-08 22:00:00,64,87,793.0021417373348,22,4,1
2021-01-08 23:00:00,64,87,713.7019275636012,23,4,1
2021-01-08 00:00:00,64,87,1903.2051401696033,0,4,1
2021-01-09 01:00:00,67,90,1982.5053543433369,1,5,1
2021-01-09 02:00:00,67,90,1982.5053543433369,2,5,1
2021-01-09 03:00:00,67,90,2022.1554614302033,3,5,1
2021-01-09 04:00:00,81,30,2024.6755953552158,4,5,1
2021-01-09 05:00:00,81,30,2604.8104248931436,5,5,1
2021-01-09 06:00:00,81,30,3725.7659947387997,6,5,1
2021-01-09 07:00:00,87,22,4558.418243563002,7,5,1
2021-01-09 08:00:00,87,22,5133.0087784659,8,5,1
2021-01-09 09:00:00,87,22,5487.171599394354,9,5,1
2021-01-09 10:00:00,84,25,4791.614636090844,10,5,1
2021-01-09 11:00:00,84,25,4599.748439933209,11,5,1
2021-01-09 12:00:00,84,25,5429.208519119062,12,5,1
2021-01-09 13:00:00,73,59,5249.942992586491,13,5,1
2021-01-09 14:00:00,73,59,5286.2329211066735,14,5,1
2021-01-09 15:00:00,73,59,5190.46783195619,15,5,1
2021-01-09 16:00:00,69,78,5190.46783195619,16,5,1
2021-01-09 17:00:00,69,78,5281.528671113317,17,5,1
2021-01-09 18:00:00,69,78,3245.9324954163785,18,5,1
2021-01-09 19:00:00,69,87,2575.0728445779932,19,5,1
2021-01-09 20:00:00,69,87,2339.3563181251375,20,5,1
2021-01-09 21:00:00,69,87,2099.2715595355926,21,5,1
2021-01-09 22:00:00,64,86,2022.1554614302033,22,5,1
2021-01-09 23:00:00,64,86,2022.1554614302033,23,5,1
2021-01-09 00:00:00,64,86,1982.5053543433369,0,5,1
2021-01-10 01:00:00,67,87,1922.8258117177436,1,6,1
2021-01-10 02:00:00,67,87,1922.8258117177436,2,6,1
2021-01-10 03:00:00,67,87,1922.8258117177436,3,6,1
2021-01-10 04:00:00,82,36,1922.8258117177436,4,6,1
2021-01-10 05:00:00,82,36,2758.2008444114426,5,6,1
2021-01-10 06:00:00,82,36,3463.879912634385,6,6,1
2021-01-10 07:00:00,88,25,4104.877275499474,7,6,1
2021-01-10 08:00:00,88,25,5193.824546421259,8,6,1
2021-01-10 09:00:00,88,25,5185.8432562999815,9,6,1
2021-01-10 10:00:00,84,26,1967.3880148948756,10,6,1
2021-01-10 11:00:00,84,26,1936.7930694299787,11,6,1
2021-01-10 12:00:00,84,26,4918.470037237189,12,6,1
2021-01-10 13:00:00,74,61,5265.656157512755,13,6,1
2021-01-10 14:00:00,74,61,5363.426961498403,14,6,1
2021-01-10 15:00:00,74,61,4455.388933325574,15,6,1
2021-01-10 16:00:00,71,76,5065.458796970714,16,6,1
2021-01-10 17:00:00,71,76,4847.636087410852,17,6,1
2021-01-10 18:00:00,71,76,3229.429515321862,18,6,1
2021-01-10 19:00:00,65,86,882.9302196663108,19,6,1
2021-01-10 20:00:00,65,86,902.5508912144511,20,6,1
2021-01-10 21:00:00,65,86,882.9302196663108,21,6,1
2021-01-10 22:00:00,65,88,686.7235041849084,22,6,1
2021-01-10 23:00:00,65,88,529.7581317997865,23,6,1
2021-01-10 00:00:00,65,88,1942.446483265884,0,6,1
2021-01-11 01:00:00,68,87,1962.6803007999035,1,0,1
2021-01-11 02:00:00,68,87,1962.6803007999035,2,0,1
2021-01-11 03:00:00,68,87,1962.6803007999035,3,0,1
